subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,sigma_rt
29233,175,True,155.61967150928916,0.5674836909687899,1.7076810853259299,-2.539821851196271,0.05,1.0930414202627,0.19285065793037068,0.4097002926727294
29239,106,True,131.3988424832798,0.2040462811142283,4.144262095430609,0.20735888105974892,0.3742232566227225,0.0,3.355193894177858,0.5292001432641108
29240,107,True,108.50567279089702,0.30639950640725555,1.910431540352799,-0.7765590085751372,0.2328595317125861,0.4213627613984496,1.1684572931423267,0.39103656802349784
29245,108,True,142.49207664457407,0.27345247573015175,3.3329601112438416,-0.5150237764837161,0.26698507441560076,0.6496895422418727,1.5302000466742143,0.6102023042754898
29280,99,True,152.73863874654387,0.029778548651052773,3.4308984821029096,-3.0506603880029375,2.4941340871819317,1.3923891295965913,4.42310822957736,0.5729336207938552
29281,126,True,158.06864942882945,0.29786751803458017,1.1438807730998135,-1.3812463149911245,0.3701446414991436,1.6028285905195399,0.23595040441006868,0.5008965356603449
29303,156,True,205.54094190520036,0.4143974260701965,1.1675125356258775,-2.5737042290385106,1.1312921800318962,1.6275978560345454,0.001,0.5735548222458593
29305,145,True,172.64195868244792,0.784869769029958,0.4314957205343373,-5.55264999017559,1.2105132986835028,1.4405978541008386,0.02947875765336684,0.5005740555261955
29306,197,True,179.6485368713544,0.5263308114498666,1.3789754162994357,-10.0,2.274691973555604,1.222348989156846,0.10073425427957056,0.43648767808133376
29307,131,True,140.44119321264674,0.1509158627402772,2.971746331948086,0.09199108276125861,0.1281065207891302,0.0,3.7040787867476572,0.44052756630898415
29310,105,True,167.843711823672,0.1306157140256268,2.4295613619516763,0.27480061098580927,0.21571518414189628,0.0,3.7642513250090914,0.7565202841422203
29318,129,True,172.4450681849523,0.12925168325788255,8.596386150177354,0.7724013377484857,0.49703799433870066,0.10802527561880762,10.0,0.4848385507800195
29326,157,True,167.26755728825793,0.11047935746008127,4.370848611347003,-1.7049640562909745,1.9662071315386287,0.0,4.471169633331219,0.4086835679035965
29328,145,True,189.54274054767546,0.11834255637158632,5.500380994599675,0.8559062858276119,0.1081230525381322,0.0,6.631345522841701,0.5633630741004951
