subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,sigma_rt
1501,151,True,201.85006096376563,0.1521601356423586,5.019951524143161,0.15791190066929695,0.557141480185791,0.0,5.251182687532747,0.5257243172009703
1502,184,True,173.9891667929216,0.3429175925861513,1.4869470130408384,-1.3002111273999941,0.46185852161815777,0.8914061800080294,0.24049586647559196,0.4420531215351018
1503,199,True,202.83321898420454,0.34732926252084206,1.4605768452825107,-1.1463825552374416,0.28444863652845154,1.0332635871655311,0.30861097505959506,0.45599110300549006
1504,120,True,154.21392100320787,0.13744544036795908,2.863216265054834,-0.07595198334826186,1.461295177543192,0.3927799532205463,3.0755877014065374,0.4934610731192818
1505,91,True,86.38260399250058,0.5689869222602909,1.3018271872086555,-2.4458150171920923,0.20491925435684552,0.47870645015860464,0.3989757516674292,0.44486297762600374
1509,113,True,156.34577759761493,0.22331335309996903,2.760224633661817,-0.31004602008851073,0.42147218470233083,0.0,2.524416455248615,0.5983389303289809
1512,145,True,152.1853283027294,0.14816421940905242,4.035407392935739,-0.5222636458600804,5.0,0.050072884780283995,3.8046102192569853,0.3886690346111568
1517,96,True,205.53710841978037,0.48284973448406443,4.665619755799686,-1.3313241731493168,0.5354893875809443,0.0,2.652092406359562,0.7133080115715871
1518,104,True,112.21024285919711,0.18193558831879866,5.617183282073408,0.40808155504385196,0.20275223411404206,0.0,4.91451018024893,0.4916679222796825
1521,141,True,168.96666672955956,0.08419293466544646,33.0240373006039,2.638625005050675,0.6153199544934923,1.0480841716768672,10.0,0.5527864811317287
1529,161,True,204.5962969463045,0.16902773985621256,4.008857896241703,-0.13862880477040831,0.5146020592646495,0.9171012592396649,1.6371202242858278,0.5131346131591847
1530,191,True,197.40859943086642,0.39207633025339084,2.4468903019982804,-3.4433314788405123,1.382429596422885,0.9336742025307708,0.32304435910470136,0.4579739869569962
1532,134,True,205.8750349977095,0.015889323608265223,8.418900250303313,2.0291751160029237,0.05,2.0,1.9525487264415733,0.5798246917740748
1535,185,True,127.12489550002468,0.7751113549474492,0.02525172685302595,-8.876741610803709,1.5258762023774257,1.2259218153933467,0.001,0.3896575393744914
